feature,mean_abs_shap
LULC=5,0.07476534319067603
Drainage_Density,0.04880227940951387
NDVI,0.04711189113746086
LULC=2,0.03663513172865899
Precipitation,0.02137502053848889
LULC=7,0.01954966193161483
Distance_to_Road,0.019389570539715188
Elevation,0.018010490843764344
TWI,0.017837638860071805
Slope,0.0111706789925931
Aspect_cos,0.011101574640948379
Distance_to_River,0.01066152381664947
Aspect_sin,0.008841483725690984
SPI,0.008827285399121441
LULC=11,0.005997191769361479
Curvature,0.0057003598038095
LULC=1,0.0039045338250293326
Precipitation_missing,0.0029569711425983954
TWI_missing,0.0016499847983263258
Drainage_Density_missing,0.0011075645016274914
Distance_to_River_missing,0.000936419388914942
SPI_missing,0.0008512275242625564
Distance_to_Road_missing,0.0006661270384676188
LULC=4,0.00038762284744535695
NDVI_missing,0.0001959191761092871
LULC_missing,0.0001325209471957578
LULC=8,0.000114587283454739
Curvature_missing,0.0
Aspect_missing,0.0
Elevation_missing,0.0
Slope_missing,0.0
