feature,mean_abs_shap
LULC=5,0.07835978139133656
Drainage_Density,0.04210578512617768
LULC=2,0.03400134700990747
TWI,0.02492679984128934
LULC=7,0.020921418699093697
NDVI,0.018303542416499282
Precipitation,0.014828975760975714
Distance_to_Road,0.014738312426418515
Elevation,0.011563427852121595
Slope,0.007510611439463533
SPI,0.006750950640057999
Aspect_cos,0.005873778550186501
Aspect_sin,0.0051773584507473006
Distance_to_River,0.004378166963996118
Curvature,0.004017432926257053
Drainage_Density_missing,0.0012623769817770383
Precipitation_missing,0.0011908413761102564
Distance_to_River_missing,0.0008660655608071011
SPI_missing,0.0008523609894336915
TWI_missing,0.0007162750478914859
LULC=4,0.000581185649022018
Distance_to_Road_missing,0.0005033441072681022
LULC=11,0.0002414279623855009
Curvature_missing,0.0
Aspect_missing,0.0
Elevation_missing,0.0
Slope_missing,0.0
NDVI_missing,0.0
LULC_missing,0.0
LULC=1,0.0
LULC=8,0.0
