POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
288402.7177,2493162.951,1,-0.231900856,3,3.533255816,8,301.6238708,3.4777237,0.00036672,,2346.096924,874.3386841,-2.091510307,0
286059.4241,2495100.988,1,-0.258181542,3,1.854334116,4,0,5.039481152,0.000175968,,4458.27002,391.0161438,-1.820852382,0
287946.9479,2492144.051,1,-0.239914089,9,3.009446383,-4,90,2.945360427,0.00040382,,1173.048462,391.0161438,-2.945360427,0
289045.4733,2493080.908,1,-0.243406728,9,2.955491066,-5,160.1565399,4.755240456,0.000366948,,1955.080688,782.0322876,-1.171882908,0
286365.1118,2491422.34,5,0.391041905,10,5.512714386,-6,146.9958801,2.337973767,0.000325789,,874.3386841,874.3386841,-2.337973767,1
286786.0654,2490686.221,5,0.382065237,4,3.427238464,8,215.8158722,4.424549417,0.000331356,,391.0161438,1236.501587,-1.205807161,1
285918.3388,2493566.887,1,-0.214567214,4,2.211056948,2,65.21147156,3.254000762,0.000199566,,2977.890137,391.0161438,-3.254000762,0
288371.1349,2491243.253,1,-0.254673958,4,2.780288458,-3,0,4.634118968,0.000381849,,391.0161438,0,-1.415407856,0
289074.5773,2492432.905,1,-0.205870524,10,2.007363319,1,270,4.043857526,0.000385448,,1564.064575,874.3386841,-2.65770579,0
287409.0307,2494260.338,1,-0.2461458,5,4.415715694,-9,245.2124786,2.560944936,0.000266021,,3128.12915,552.9803467,-2.560944936,0
285462.2642,2493269.574,1,-0.253831893,5,4.211057186,-6,28.42771912,3.301721744,0.000192605,,2819.657471,0,-1.915495283,0
290175.6568,2491977.628,1,-0.190052569,12,2.210874081,7,245.2092743,3.254083532,0.000293207,,874.3386841,874.3386841,-3.254083532,1
288536.4267,2492386.876,1,-0.198819742,3,1.366648674,3,47.27095413,3.735256697,0.000391133,,1612.200928,782.0322876,-3.735256697,0
287173.3926,2491416.375,1,-0.086951524,8,1.003921151,9,270,4.043640638,0.000350564,,391.0161438,782.0322876,-4.043640638,0
288388.9665,2493520.699,1,-0.241236821,3,1.004060388,2,270,5.142114295,0.00036672,,2346.096924,874.3386841,-2.945269961,1
285745.5207,2493713.578,1,-0.227399915,2,0.927409947,4,180,4.122881649,0.000199566,,2977.890137,391.0161438,-4.122881649,0
286400.1135,2494119.171,1,-0.254710972,3,1.366728783,4,132.7259369,3.735198084,0.000219169,,3224.401855,391.0161438,-3.735198084,0
289874.5982,2493509.051,1,-0.235897765,2,2.780288458,8,0,4.123293345,0.000257467,,2473.003174,782.0322876,-1.926206026,0
287739.4986,2493692.292,1,-0.24611783,3,1.366710901,-5,227.2733612,6.568424511,0.000304056,,2737.113037,782.0322876,-0.902392224,0
295931.5617,2497856.547,1,-0.175028414,5,2.211585045,-2,114.7822037,3.253761771,0.000569838,3294.281006,0,0,-3.253761771,0
289895.915,2491300.164,1,-0.233741924,15,1.854334116,-14,180,4.12319042,0.000307009,,874.3386841,1105.960693,-2.737050461,1
291127.7972,2491975.452,1,-0.227390483,6,2.731705427,-1,132.7297974,3.735480361,0.000247231,,874.3386841,391.0161438,-2.349290776,0
285215.1984,2493814.982,1,-0.24591668,6,0.927409947,-12,0,4.122881649,0.000191533,,3363.647949,391.0161438,-4.122881649,0
287956.2561,2494409.312,1,-0.241020516,2,5.040649891,1,336.5829468,5.606047816,0.000243476,,3519.145264,0,0.749951201,0
287286.1865,2493103.763,1,-0.246917114,2,2.007447958,1,270,6.05871836,0.000373555,,1955.080688,0,-0.642884197,0
284272.6685,2495842.793,1,-0.279987663,4,2.007807255,1,270,4.043636279,7.15E-05,,5432.169922,1236.501587,-2.657484511,0
286712.761,2493370.226,1,-0.251768738,4,4.734121323,-6,192.2176819,2.491030764,0.000280362,,2378.458252,0,-2.491030764,0
286592.4338,2495243.179,1,-0.245323956,4,1.366785169,0,132.7237549,6.67959581,0.000222456,,4318.914551,391.0161438,-0.791114826,0
285687.973,2495439.514,1,-0.289396942,7,1.36679256,-11,227.276535,6.133046696,0.000175968,,4458.27002,391.0161438,-1.337637081,0
295393.8652,2497817.351,1,-0.192507863,6,2.21158123,1,245.2177582,3.253763497,,3296.296143,,,-3.253763497,0
286233.6115,2492165.99,1,-0.259326875,4,1.00396955,-1,270,4.043592447,0.000324898,,1409.828735,391.0161438,-4.043592447,0
