sample_id,POINT_X,POINT_Y,observed_class
0,288402.7177,2493162.951,0
1,286059.4241,2495100.988,0
2,287946.9479,2492144.051,0
6,285918.3388,2493566.887,0
9,287409.0307,2494260.338,0
10,285462.2642,2493269.574,0
12,288536.4267,2492386.876,0
14,288388.9665,2493520.699,1
15,285745.5207,2493713.578,0
16,286400.1135,2494119.171,0
18,287739.4986,2493692.292,0
19,295931.5617,2497856.547,0
20,289895.915,2491300.164,1
22,285215.1984,2493814.982,0
23,287956.2561,2494409.312,0
24,287286.1865,2493103.763,0
25,284272.6685,2495842.793,0
26,286712.761,2493370.226,0
27,286592.4338,2495243.179,0
28,285687.973,2495439.514,0
29,295393.8652,2497817.351,0
30,286233.6115,2492165.99,0
33,287673.4517,2493719.319,0
35,287157.3069,2495209.513,0
37,289032.5739,2490904.629,1
38,285480.0013,2492840.478,0
39,285243.5737,2494068.301,0
41,286264.7194,2494159.827,0
42,288677.7376,2491041.135,1
43,289523.5606,2491561.57,0
44,285738.9043,2493139.489,0
45,288264.788,2492197.412,0
47,286291.9626,2494035.3,0
49,287458.4858,2492241.786,0
50,284862.4033,2494010.552,0
51,289615.9269,2491169.918,0
53,286303.8311,2492017.885,0
54,284904.583,2495175.691,0
56,284639.6701,2495548.431,0
59,287597.5653,2492598.359,0
60,288324.9796,2494192.502,0
61,286908.2053,2493768.713,0
64,289182.7335,2491236.778,1
67,295461.0949,2498078.594,0
69,285993.8308,2493676.31,0
71,289360.8327,2491488.365,0
72,285830.6318,2494930.718,1
75,289469.6293,2490839.407,1
76,288536.5879,2493451.024,1
78,289317.5754,2491246.703,0
79,285274.9463,2495427.456,0
80,284144.2872,2495135.829,0
81,286201.1925,2493687.782,0
86,288597.3814,2492099.664,0
89,286070.0872,2495124.287,1
94,286628.9154,2494488.639,0
96,288609.3416,2490795.895,0
98,295305.3696,2497743.335,0
100,286468.9884,2492203.698,0
101,287398.2958,2495066.767,0
103,285159.804,2494421.609,0
107,284999.5876,2493776.334,0
111,288196.6247,2492847.73,1
112,285427.0431,2494331.314,0
116,312073.5965,2460458.868,0
117,302900.9884,2447899.132,1
118,304971.2091,2498138.842,0
119,311601.882,2465812.77,1
121,295041.0022,2481484.276,0
122,312962.9699,2494304.16,1
123,296536.1763,2467646.374,0
124,310933.8704,2488157.391,1
128,311038.271,2465871.522,0
129,298604.25,2452225.658,0
130,295733.2942,2454253.919,0
131,309117.9835,2495115.313,0
132,305822.7349,2487851.914,0
133,309576.9383,2491254.063,0
134,312720.2385,2493043.092,1
135,298283.5998,2480966.889,0
137,318381.169,2495262.512,0
138,311572.5605,2458353.422,1
139,309852.7673,2467682.253,1
140,313622.0121,2496092.717,1
141,308975.4634,2451327.004,0
145,306756.8482,2472652.874,0
146,311732.0258,2465737.268,1
149,299481.9793,2474361.187,1
150,304780.7804,2447619.394,0
152,310493.9133,2472674.014,0
154,306410.8691,2451460.643,1
155,310032.2347,2457246.899,0
158,308151.3667,2475044.427,0
159,312124.4732,2468112.383,0
160,301858.1354,2496614.469,1
161,301320.5422,2469605.496,0
162,306182.1328,2452068.275,1
163,307931.2085,2466743.161,0
164,303567.9265,2490278.966,0
165,307342.0349,2495973.433,0
166,298561.0805,2453352.715,0
167,302325.0198,2493345.065,0
168,311418.3675,2456964.58,1
169,316590.8704,2493628.389,0
170,302453.1415,2445093.945,0
171,295694.7276,2454888.987,0
173,301267.3904,2463994.808,0
174,307795.5281,2498085.477,0
177,300743.6566,2496457.453,0
178,293625.6749,2485062.899,0
179,308438.6517,2495232.03,0
181,302768.4444,2472043.897,0
182,303533.2849,2471085.775,1
183,308284.6298,2494033.015,0
184,308265.9716,2486047.845,0
185,298286.1494,2480407.82,0
186,298536.2658,2497711.871,0
187,294304.7903,2439506.057,0
188,298725.3728,2474468.954,0
189,310409.8569,2465501.393,0
190,305952.8626,2464353.441,1
191,309368.4861,2470516.481,0
192,298866.5086,2440192.936,0
193,306736.1755,2451541.126,0
194,296567.636,2497468.946,0
195,299013.0747,2439798.96,0
197,294682.8724,2478870.842,1
198,315810.4645,2493115.357,0
199,312081.9557,2462619.938,1
201,309654.5282,2454966.481,1
202,301800.5306,2451417.575,0
206,309908.6314,2475196.045,0
207,312307.705,2468522.296,1
210,308989.7535,2467289.242,1
212,312338.51,2490180.171,0
213,317158.893,2497737.796,0
215,309690.4137,2463147.302,1
216,293829.5529,2441087.743,1
217,311777.3897,2461768.033,0
218,300961.4803,2444352.824,1
219,308530.0256,2489849.744,0
221,303131.6774,2459234.255,1
222,316955.2433,2496774.542,0
224,303826.7557,2486907.322,0
225,307870.8813,2489873.977,1
226,315376.1729,2496020.416,1
227,312715.0972,2471834.121,1
228,312413.0431,2474023.124,0
229,312932.7795,2470818.788,0
230,290325.1324,2486040.971,1
