LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
-1.4469265,-3.16936,-1.4557871,0.77433133,1.2383231,1.3638036,-0.51117235,-1.550376,0.20035698,1.9728577,1.1312973,0.1970511
-1.4469265,-3.2798011,-1.4557871,-0.31970045,0.62446576,-1.4025239,0.06665224,-2.3226206,0.20035698,4.3400106,-0.047246892,0.29346648
-1.4469265,-3.2030344,0.23393485,0.43300262,-0.603249,-0.57709366,-0.708138,-1.4001796,0.20035698,0.65819967,-0.047246892,-0.10711251
-1.4469265,-3.0965173,-1.1741667,-0.087249994,0.31753707,-0.8044403,-0.59394616,-2.227086,0.20035698,2.6809204,-0.047246892,-0.21705823
-1.4469265,-3.2292225,-0.8925464,1.3493665,-1.3705708,0.84642947,-0.8503654,-1.9580481,0.20035698,2.8492963,0.34769017,0.02982628
-1.4469265,-3.2615223,-0.8925464,1.2160054,-0.9101777,-1.1418005,-0.5762902,-2.255267,0.20035698,2.503586,-1.0007092,0.2597522
-1.4469265,-3.0303404,-1.4557871,-0.63748974,0.4710014,-0.96898085,-0.41588938,-1.4515419,0.20035698,1.1503663,0.9062154,-0.3884941
-1.4469265,-3.2085931,-1.4557871,-0.8737623,0.31753707,1.073767,0.104624815,-1.550376,0.20035698,1.9728577,1.1312973,-0.10708028
-1.4469265,-3.1504452,-1.7374073,-0.92370987,0.62446576,0.24833664,-0.2724745,-2.227086,0.20035698,2.6809204,-0.047246892,-0.52657616
-1.4469265,-3.2652166,-1.4557871,-0.6374375,0.62446576,-0.18523495,-0.41591105,-2.1477246,0.20035698,2.957191,-0.047246892,-0.3884732
-1.4469265,-3.229105,-1.4557871,-0.6374492,-0.75671333,0.6819018,0.63233614,-1.8040664,0.20035698,2.411077,0.9062154,0.6206459
-1.4469265,-2.9303603,-0.8925464,-0.08690587,-0.29632032,-0.34980494,-0.59403455,-0.7280687,0.549693,-0.6564583,-1.0007092,-0.21697308
-1.4469265,-3.1770966,1.9236567,-0.31970045,-2.1378925,0.24833664,-0.27236027,-1.7921114,0.20035698,0.32342988,1.6960896,-0.032907087
-1.4469265,-3.2282596,-0.6109261,-0.92370987,-1.8309637,-1.4025239,-0.2724745,-2.2596068,0.20035698,3.1132467,-0.047246892,-0.52657616
-1.4469265,-3.207684,-1.7374073,1.756591,0.1640727,1.6844289,0.2762726,-2.0493197,0.20035698,3.2875154,-1.0007092,1.2092535
-1.4469265,-3.2324638,-1.7374073,-0.21992724,0.1640727,1.073767,0.44375324,-1.5227051,0.20035698,1.5346383,-1.0007092,0.71308935
-1.4469265,-3.3714387,-1.1741667,-0.21969311,0.1640727,1.073767,-0.301794,-2.745551,0.20035698,5.431479,2.0144033,-0.004563626
-1.4469265,-3.2528522,-1.1741667,1.5568484,-0.9101777,0.36039048,-0.8762325,-1.8999897,0.20035698,2.0091257,-1.0007092,0.054731525
-1.4469265,-3.2257688,-1.1741667,-0.6374008,0.0106083695,-0.18525496,0.6734677,-2.1344175,0.20035698,4.183832,-0.047246892,0.6602858
-1.4469265,-3.41098,-0.32930577,-0.637396,-1.6774994,0.6819309,0.4712535,-2.3226206,0.20035698,4.3400106,-0.047246892,0.46560034
-1.4469265,-3.0038157,-0.6109261,-0.086908355,0.1640727,0.8464779,-0.59403396,0.08794737,0.55725557,-0.218239,-0.047246892,-0.2169737
-1.4469265,-3.2846143,-1.1741667,-0.8738215,-0.14285597,1.073767,-0.3018102,-1.7196891,0.20035698,0.9235639,-0.047246892,-0.4983313
-1.4469265,-3.1467226,-2.0190277,-0.21987192,-0.29632032,1.073767,0.4900459,-1.8040664,0.20035698,2.411077,0.9062154,0.75769
-1.4469265,-3.2025008,-0.8925464,-0.6374018,-0.9101777,-0.96893287,0.5604819,-2.1344175,0.20035698,4.1639543,0.9062154,0.5515033
-1.4469265,-3.199508,-0.6109261,-0.15420663,1.2383231,-0.012353521,-0.16985932,-1.6692013,0.20035698,-0.6564583,-0.047246892,0.15726832
-1.4469265,-3.279343,-2.300648,-0.63747627,1.6987162,1.4656467,0.09701114,-2.2067952,0.20035698,2.1495142,-1.0007092,0.10523344
-1.4469265,-3.2813523,-1.1741667,-0.31970045,-0.44978467,-1.4025239,-0.52881336,-2.2765172,0.20035698,3.4776943,0.34769017,-0.27976912
-1.4469265,-3.3135266,-2.0190277,2.9048612,1.2383231,0.6819092,-1.0112534,-2.1477246,0.20035698,2.957191,-0.047246892,0.18473174
-1.4469265,-3.2224307,-1.1741667,-0.87386745,-0.603249,1.073767,0.29368135,-1.5915606,0.20035698,-0.218239,-1.0007092,0.07480471
-1.4469265,-3.0719385,0.23393485,2.5236251,-2.1378925,-0.9115284,-0.97769713,-1.6923947,0.20035698,-0.036722597,1.1312973,0.15242325
-1.4469265,-3.2219732,-1.1741667,0.52380097,-0.14285597,0.91681534,-0.72491306,-2.0674284,0.20035698,1.8987775,-1.0007092,-0.0909612
-1.4469265,-3.0997548,-1.7374073,1.1395403,1.5452518,1.465658,-0.8222517,-1.332162,0.20035698,0.65819967,0.34769017,0.0027579395
-1.4469265,-3.225694,-0.04768546,0.3978569,-2.4448211,1.7171941,-0.7014362,-2.1477246,0.20035698,2.957191,-0.047246892,-0.11356511
-1.4469265,-3.1068275,-1.4557871,-0.63749456,0.7779301,0.681877,-0.41588736,-1.4347005,0.20035698,0.65819967,-0.047246892,-0.388496
-1.4469265,-3.2578645,-1.4557871,-1.5280358,0.4710014,-1.4025239,2.4617202,0.08794737,0.20035698,-0.218239,-0.047246892,-3.159102
-1.4469265,-3.1406102,-0.04768546,0.28367698,0.62446576,-1.4025239,-0.42233762,-1.8599873,0.20035698,-0.036722597,0.9062154,0.11151179
-1.4469265,-3.1138287,-0.8925464,2.313497,-2.4448211,0.06635543,-0.95784783,-1.7196891,0.20035698,0.9235639,-0.047246892,0.13331205
-1.4469265,-3.3772671,-2.0190277,1.3494998,0.93139446,-0.3497675,-0.8503826,-2.4224184,0.20035698,4.638566,1.1312973,0.029842846
-1.4469265,-3.3191519,-1.4557871,0.70548844,-0.29632032,1.5706351,-0.4999149,-2.653652,0.20035698,5.222871,1.8596779,0.18621136
-1.4469265,-3.2117293,-1.4557871,0.28367698,0.4710014,-1.4025239,-0.42233762,-1.4086328,0.20035698,1.096419,-1.0007092,0.11151179
-1.4469265,-3.2079275,-0.8925464,0.43326643,-1.2171063,1.073767,0.4182354,-1.9571817,0.20035698,2.8492963,0.34769017,0.977409
-1.4469265,-3.2108889,-1.1741667,1.9497807,0.93139446,-0.76306146,-0.9208139,-1.9363648,0.20035698,2.411077,-0.047246892,0.097655214
-1.4469265,-3.0452762,0.79717547,2.144888,0.0106083695,0.15453894,-0.9411307,-1.5944027,0.20035698,-0.218239,0.34769017,0.117216535
-1.4469265,-2.8621552,-0.8925464,-0.21949285,0.0106083695,-0.57709366,1.7109528,-1.472274,0.56709594,-0.218239,-0.047246892,1.9333991
-1.4469265,-3.2102404,-1.4557871,-0.15415102,-0.29632032,-1.1417944,-0.5763428,-2.227086,0.20035698,2.6809204,-0.047246892,-0.23400702
-1.4469265,-3.0515606,1.6420364,-0.15419483,-3.212143,1.6384987,-0.57633096,-1.6923947,0.20035698,-0.036722597,1.1312973,-0.23401839
-1.4469265,-3.350668,-1.1741667,-0.21977203,0.4710014,-0.57709366,0.037240844,-2.2680478,0.20035698,3.9186857,0.34769017,0.32179096
-1.4469265,-3.1147294,-0.32930577,1.7347693,-0.9101777,-0.57709366,-0.8970765,-1.7550198,0.20035698,-0.218239,0.34769017,0.07480042
-1.4469265,-3.200715,-0.32930577,1.153568,-1.2171063,-0.6963445,-0.4177301,-1.5745937,0.20035698,2.0091257,0.34769017,0.39595369
-1.4469265,-3.0469694,0.5155552,0.97269654,1.0848588,0.10945295,-0.7982827,-1.6923947,0.20035698,-0.036722597,1.1312973,-0.020319773
-1.4469265,-3.389449,-0.6109261,-1.5280358,-0.603249,-1.4025239,2.4617202,-2.368878,0.20035698,4.4727674,0.9062154,-3.159102
