LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.16936,-1.4557872,0.7743314,1.2383232,-0.5111725,-1.550376,0.2003567,1.9728577,1.1312975,0.19705106,-1.2337903,0.61800957
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2798014,-1.4557872,-0.3197004,0.62446576,0.0666522,-2.3226206,0.2003567,4.3400106,-0.04724688,0.29346645,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2030344,0.23393472,0.43300268,-0.603249,-0.70813805,-1.4001795,0.2003567,0.6581997,-0.04724688,-0.10711256,1.4609138,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0965173,-1.1741668,-0.08724994,0.31753707,-0.5939463,-2.2270858,0.2003567,2.6809206,-0.04724688,-0.21705824,1.3268145,0.4725577
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2292223,-0.89254653,1.3493667,-1.3705708,-0.85036546,-1.9580481,0.2003567,2.8492963,0.3476902,0.029826203,-1.3158176,-0.6882359
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2615223,-0.89254653,1.2160056,-0.9101777,-0.5762902,-2.255267,0.2003567,2.503586,-1.0007093,0.25975218,0.6983513,1.1095537
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0303407,-1.4557872,-0.63748974,0.47100142,-0.41588944,-1.4515419,0.2003567,1.1503663,0.9062155,-0.38849413,1.0746053,0.83146113
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.208593,-1.4557872,-0.87376225,0.31753707,0.104624726,-1.550376,0.2003567,1.9728577,1.1312975,-0.10708036,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1504452,-1.7374074,-0.92370987,0.62446576,-0.27247465,-2.2270858,0.2003567,2.6809206,-0.04724688,-0.52657616,0.005503773,-1.4921786
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2652166,-1.4557872,-0.6374375,0.62446576,-0.41591114,-2.1477246,0.2003567,2.957191,-0.04724688,-0.38847324,1.074659,-1.0471064
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.229105,-1.4557872,-0.63744915,-0.75671333,0.6323362,-1.8040663,0.2003567,2.411077,0.9062155,0.6206459,-1.0636393,-1.0471188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9303606,-0.89254653,-0.08690582,-0.29632032,-0.5940347,-0.72806877,0.54969317,-0.6564583,-1.0007093,-0.21697314,1.3268818,-0.6881193
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1770968,1.9236566,-0.3197004,-2.1378925,-0.27236032,-1.7921114,0.2003567,0.3234299,1.6960896,-0.032907154,0.005503773,-1.4921786
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2282596,-0.6109262,-0.92370987,-1.8309637,-0.27247465,-2.2596068,0.2003567,3.1132467,-0.04724688,-0.52657616,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.207684,-1.7374074,1.7565911,0.16407272,0.27627248,-2.0493197,0.2003567,3.2875156,-1.0007093,1.2092535,-0.5729068,1.16246
