LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23190086,3.0,3.5332558,8.0,3.4777236,0.00036672,3201.1965,2346.097,874.3387,-2.0915103,-0.85150856,0.5243407
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25818154,3.0,1.8543341,4.0,5.039481,0.000175968,3201.1965,4458.27,391.01614,-1.8208524,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23991409,9.0,3.0094464,-4.0,2.9453604,0.00040382,3201.1965,1173.0485,391.01614,-2.9453604,1.0,6.123234e-17
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.21456721,4.0,2.211057,2.0,3.2540007,0.000199566,3201.1965,2977.8901,391.01614,-3.2540007,0.9078615,0.41927034
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2461458,5.0,4.4157157,-9.0,2.560945,0.000266021,3201.1965,3128.1292,552.98035,-2.560945,-0.9078688,-0.41925436
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2538319,5.0,4.211057,-6.0,3.3017218,0.000192605,3201.1965,2819.6575,0.0,-1.9154953,0.47604972,0.8794184
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.19881974,3.0,1.3666487,3.0,3.7352567,0.000391133,3201.1965,1612.2009,782.0323,-3.7352567,0.7345707,0.6785321
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24123682,3.0,1.0040604,2.0,5.142114,0.00036672,3201.1965,2346.097,874.3387,-2.94527,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.22739992,2.0,0.92740995,4.0,4.1228814,0.000199566,3201.1965,2977.8901,391.01614,-4.1228814,1.2246469e-16,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25471097,3.0,1.3667288,4.0,3.735198,0.000219169,3201.1965,3224.4019,391.01614,-3.735198,0.7346075,-0.6784923
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24611783,3.0,1.3667109,-5.0,6.5684247,0.000304056,3201.1965,2737.113,782.0323,-0.9023922,-0.73459923,-0.6785013
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17502841,5.0,2.211585,-2.0,3.2537618,0.000569838,3294.281,0.0,0.0,-3.2537618,0.9079077,-0.4191701
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23374192,15.0,1.8543341,-14.0,4.1231904,0.000307009,3201.1965,874.3387,1105.9607,-2.7370505,1.2246469e-16,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24591668,6.0,0.92740995,-12.0,4.1228814,0.000191533,3201.1965,3363.648,391.01614,-4.1228814,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24102052,2.0,5.04065,1.0,5.6060476,0.000243476,3201.1965,3519.1453,0.0,0.7499512,-0.39742103,0.9176364
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24691711,2.0,2.007448,1.0,6.058718,0.000373555,3201.1965,1955.0807,0.0,-0.6428842,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.27998766,4.0,2.0078073,1.0,4.0436363,7.15e-05,3201.1965,5432.17,1236.5016,-2.6574845,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25176874,4.0,4.7341213,-6.0,2.4910307,0.000280362,3201.1965,2378.4583,0.0,-2.4910307,-0.21162643,-0.97735065
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24532396,4.0,1.3667852,0.0,6.679596,0.000222456,3201.1965,4318.9146,391.01614,-0.7911148,0.7346334,-0.6784643
