LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
1.0,-0.231900856,3.0,3.533255816,8.0,301.6238708,3.4777237,0.00036672,3201.1966549999997,2346.096924,874.3386841,-2.091510307
1.0,-0.258181542,3.0,1.854334116,4.0,0.0,5.039481152,0.000175968,3201.1966549999997,4458.27002,391.0161438,-1.820852382
1.0,-0.239914089,9.0,3.009446383,-4.0,90.0,2.945360427,0.00040382,3201.1966549999997,1173.048462,391.0161438,-2.945360427
1.0,-0.214567214,4.0,2.211056948,2.0,65.21147156,3.254000762,0.000199566,3201.1966549999997,2977.890137,391.0161438,-3.254000762
1.0,-0.2461458,5.0,4.415715694,-9.0,245.2124786,2.560944936,0.000266021,3201.1966549999997,3128.12915,552.9803467,-2.560944936
1.0,-0.253831893,5.0,4.211057186,-6.0,28.42771912,3.301721744,0.000192605,3201.1966549999997,2819.657471,0.0,-1.915495283
1.0,-0.198819742,3.0,1.366648674,3.0,47.27095413,3.735256697,0.000391133,3201.1966549999997,1612.200928,782.0322876,-3.735256697
1.0,-0.241236821,3.0,1.004060388,2.0,270.0,5.142114295,0.00036672,3201.1966549999997,2346.096924,874.3386841,-2.945269961
1.0,-0.227399915,2.0,0.927409947,4.0,180.0,4.122881649,0.000199566,3201.1966549999997,2977.890137,391.0161438,-4.122881649
1.0,-0.254710972,3.0,1.366728783,4.0,132.7259369,3.735198084,0.000219169,3201.1966549999997,3224.401855,391.0161438,-3.735198084
1.0,-0.24611783,3.0,1.366710901,-5.0,227.2733612,6.568424511,0.000304056,3201.1966549999997,2737.113037,782.0322876,-0.902392224
1.0,-0.175028414,5.0,2.211585045,-2.0,114.7822037,3.253761771,0.000569838,3294.281006,0.0,0.0,-3.253761771
1.0,-0.233741924,15.0,1.854334116,-14.0,180.0,4.12319042,0.000307009,3201.1966549999997,874.3386841,1105.960693,-2.737050461
1.0,-0.24591668,6.0,0.927409947,-12.0,0.0,4.122881649,0.000191533,3201.1966549999997,3363.647949,391.0161438,-4.122881649
1.0,-0.241020516,2.0,5.040649891,1.0,336.5829468,5.606047816,0.000243476,3201.1966549999997,3519.145264,0.0,0.749951201
1.0,-0.246917114,2.0,2.007447958,1.0,270.0,6.05871836,0.000373555,3201.1966549999997,1955.080688,0.0,-0.642884197
1.0,-0.279987663,4.0,2.007807255,1.0,270.0,4.043636279,7.15e-05,3201.1966549999997,5432.169922,1236.501587,-2.657484511
1.0,-0.251768738,4.0,4.734121323,-6.0,192.2176819,2.491030764,0.000280362,3201.1966549999997,2378.458252,0.0,-2.491030764
1.0,-0.245323956,4.0,1.366785169,0.0,132.7237549,6.67959581,0.000222456,3201.1966549999997,4318.914551,391.0161438,-0.791114826
1.0,-0.289396942,7.0,1.36679256,-11.0,227.276535,6.133046696,0.000175968,3201.1966549999997,4458.27002,391.0161438,-1.337637081
1.0,-0.192507863,6.0,2.21158123,1.0,245.2177582,3.253763497,0.000771402,3296.296143,391.0161438,391.0161438,-3.253763497
1.0,-0.259326875,4.0,1.00396955,-1.0,270.0,4.043592447,0.000324898,3201.1966549999997,1409.828735,391.0161438,-4.043592447
1.0,-0.226514101,1.0,2.007532835,-2.0,270.0,6.183839201,0.000304056,3201.1966549999997,2737.113037,782.0322876,-0.517680978
1.0,-0.239787117,5.0,1.366783619,-6.0,47.27618408,6.374215294,0.000222456,3201.1966549999997,4301.177734,782.0322876,-1.096489732
1.0,-0.239074931,6.0,2.108304024,8.0,151.5758972,4.400232328,0.000337369,3201.1966549999997,0.0,391.0161438,-2.203188811
1.0,-0.258072495,0.0,1.366669416,11.0,312.728241,5.121535881,0.000204578,3201.1966549999997,2503.724854,0.0,-2.349261445
1.0,-0.258550644,4.0,1.854334116,-3.0,0.0,3.43004324,0.000187356,3201.1966549999997,3688.838867,552.9803467,-3.43004324
1.0,-0.26620689,1.0,6.802806854,8.0,227.2741699,2.126093276,0.000219169,3201.1966549999997,3224.401855,391.0161438,-2.126093276
1.0,-0.244529605,4.0,1.003898978,-4.0,270.0,5.653100629,0.000356547,3201.1966549999997,391.0161438,0.0,-2.434681188
1.0,-0.208718404,9.0,6.217754841,-14.0,53.53522491,2.216789925,0.00033164,3201.1966549999997,552.9803467,874.3386841,-2.216789925
1.0,-0.244420752,4.0,3.14878726,-1.0,252.8869324,2.900020365,0.000239003,3201.1966549999997,2279.996338,0.0,-2.900020365
1.0,-0.215337619,2.0,4.09371233,10.0,312.7294617,2.636931363,0.000420621,3201.1966549999997,1173.048462,552.9803467,-2.636931363
1.0,-0.245306179,8.0,2.955511093,-16.0,340.1554565,2.9634742,0.000219169,3201.1966549999997,3224.401855,391.0161438,-2.9634742
1.0,-0.217020631,3.0,1.366641283,5.0,227.2706604,3.735262105,0.000395293,3201.1966549999997,1173.048462,391.0161438,-3.735262105
1.0,-0.252961457,3.0,0.0,3.0,0.0,11.51292546,0.000771402,3201.1966549999997,391.0161438,391.0161438,-11.51292546
1.0,-0.225059554,8.0,2.780288458,4.0,0.0,3.717828236,0.000290243,3201.1966549999997,552.9803467,782.0322876,-2.331636818
1.0,-0.21868664,5.0,5.895288467,-16.0,160.1578522,2.270438979,0.000324898,3201.1966549999997,1409.828735,391.0161438,-2.270438979
1.0,-0.281374574,1.0,4.415920258,6.0,114.7862854,2.560898433,0.000151317,3201.1966549999997,4724.666016,874.3386841,-2.560898433
1.0,-0.267545462,3.0,3.427608252,-2.0,324.1755371,3.508150555,9.42e-05,3201.1966549999997,5246.032227,1173.048462,-2.121939663
1.0,-0.241983086,3.0,2.780288458,3.0,0.0,3.717828236,0.000401732,3201.1966549999997,1564.064575,0.0,-2.331636818
1.0,-0.241078436,5.0,3.009851217,-8.0,270.0,5.989748131,0.000266235,3201.1966549999997,3128.12915,552.9803467,0.099115634
1.0,-0.241783127,4.0,5.33712244,6.0,69.72317505,2.370535089,0.000271377,3201.1966549999997,2737.113037,391.0161438,-2.370535089
1.0,-0.202373847,11.0,5.636537552,0.0,169.7728577,2.31562242,0.000355845,3201.1966549999997,391.0161438,552.9803467,-2.31562242
1.0,-0.158798277,5.0,2.008114576,0.0,90.0,9.483734008,0.000386012,3298.918213,391.0161438,391.0161438,2.782777533
1.0,-0.241628796,3.0,2.108389378,-2.0,28.42839432,3.30157953,0.000199566,3201.1966549999997,2977.890137,391.0161438,-3.30157953
1.0,-0.203869268,14.0,2.108322144,-21.0,331.5749817,3.30161144,0.00033164,3201.1966549999997,552.9803467,874.3386841,-3.30161144
1.0,-0.275045037,4.0,2.007686138,3.0,90.0,4.959987367,0.000189448,3201.1966549999997,4082.328369,552.9803467,-1.741339716
1.0,-0.218900964,7.0,5.007162094,-6.0,90.0,2.434693227,0.000316171,3201.1966549999997,391.0161438,552.9803467,-2.434693227
1.0,-0.23936215,7.0,4.11523962,-8.0,76.99759674,3.730281553,0.000360738,3201.1966549999997,2378.458252,552.9803467,-1.533149626
1.0,-0.202776775,10.0,3.837670803,7.0,164.8569489,2.701715273,0.00033164,3201.1966549999997,552.9803467,874.3386841,-2.701715273
1.0,-0.284273386,6.0,0.0,-4.0,0.0,11.51292546,0.000164542,3201.1966549999997,4576.726563,782.0322876,-11.51292546
1.0,-0.314810961,4.0,1.854334116,-1.0,180.0,3.43004324,9.63e-05,3201.1966549999997,5098.226563,874.3386841,-3.43004324
1.0,-0.242708117,4.0,2.955503464,-3.0,340.1558838,2.963476786,0.000240333,3201.1966549999997,2846.640625,391.0161438,-2.963476786
1.0,-0.208321169,10.0,2.731714487,-2.0,227.2703857,3.04232986,0.000400109,3201.1966549999997,1236.501587,391.0161438,-3.04232986
1.0,-0.252738237,3.0,1.366777658,-1.0,47.2759552,5.344600238,0.000198884,3201.1966549999997,4371.693359,0.0,-2.126059628
1.0,-0.264390856,4.0,0.927409947,0.0,180.0,6.425466742,0.000222456,3201.1966549999997,3540.801758,874.3386841,-1.820852342
1.0,-0.21994406,3.0,2.780288458,5.0,0.0,5.8578944,0.000300646,3201.1966549999997,391.0161438,0.0,-0.191661495
1.0,-0.203991622,6.0,2.211570263,-8.0,114.7823792,3.25376846,0.000771402,3296.084961,391.0161438,391.0161438,-3.25376846
1.0,-0.284244388,3.0,3.427351475,2.0,324.181488,2.815078458,0.000361662,3201.1966549999997,1236.501587,0.0,-2.815078458
1.0,-0.253576666,4.0,1.004161477,-8.0,270.0,6.608350725,0.000222456,3201.1966549999997,3910.161377,391.0161438,-1.478978487
