sample_id,POINT_X,POINT_Y,observed_class,split,model,predicted_probability,predicted_class
0,288402.7177,2493162.951,0,train,Random Forest,0.23158527302082774,0
1,286059.4241,2495100.988,0,train,Random Forest,0.3563256283804149,0
2,287946.9479,2492144.051,0,train,Random Forest,0.2820465949866351,0
3,289045.4733,2493080.908,0,test,Random Forest,0.41242894376936323,0
4,286365.1118,2491422.34,1,validation,Random Forest,0.5898962708015958,1
5,286786.0654,2490686.221,1,validation,Random Forest,0.619721894751012,1
6,285918.3388,2493566.887,0,train,Random Forest,0.17535432501759785,0
7,288371.1349,2491243.253,0,validation,Random Forest,0.383851802257573,0
8,289074.5773,2492432.905,0,test,Random Forest,0.5307657033106578,1
9,287409.0307,2494260.338,0,train,Random Forest,0.18116198738131462,0
10,285462.2642,2493269.574,0,train,Random Forest,0.19218546284924087,0
11,290175.6568,2491977.628,1,test,Random Forest,0.3197161736777314,0
12,288536.4267,2492386.876,0,train,Random Forest,0.2577916153156459,0
13,287173.3926,2491416.375,0,validation,Random Forest,0.4610109925315882,0
14,288388.9665,2493520.699,1,train,Random Forest,0.6237015539723223,1
15,285745.5207,2493713.578,0,train,Random Forest,0.25259143273922846,0
16,286400.1135,2494119.171,0,train,Random Forest,0.13548621852212547,0
17,289874.5982,2493509.051,0,test,Random Forest,0.3190332062275537,0
18,287739.4986,2493692.292,0,train,Random Forest,0.23919369683340833,0
19,295931.5617,2497856.547,0,train,Random Forest,0.2167578339628422,0
20,289895.915,2491300.164,1,train,Random Forest,0.6639390612935637,1
21,291127.7972,2491975.452,0,test,Random Forest,0.33605732382122533,0
22,285215.1984,2493814.982,0,train,Random Forest,0.23639581598594062,0
23,287956.2561,2494409.312,0,train,Random Forest,0.1858670637660243,0
24,287286.1865,2493103.763,0,train,Random Forest,0.2984230214878586,0
25,284272.6685,2495842.793,0,train,Random Forest,0.2638114910716229,0
26,286712.761,2493370.226,0,train,Random Forest,0.18405523234204949,0
27,286592.4338,2495243.179,0,train,Random Forest,0.2887472420231693,0
28,285687.973,2495439.514,0,train,Random Forest,0.2531000655239021,0
29,295393.8652,2497817.351,0,train,Random Forest,0.35363076559583656,0
30,286233.6115,2492165.99,0,train,Random Forest,0.3772137676568253,0
31,290294.1278,2491813.62,1,test,Random Forest,0.455523806239692,0
32,289783.0424,2493925.767,0,test,Random Forest,0.17003571884522353,0
33,287673.4517,2493719.319,0,train,Random Forest,0.22433807155855873,0
34,288686.6125,2494344.187,0,test,Random Forest,0.18003521420457894,0
35,287157.3069,2495209.513,0,train,Random Forest,0.32176020207450545,0
36,289735.0026,2492235.377,0,test,Random Forest,0.3377609430263378,0
37,289032.5739,2490904.629,1,train,Random Forest,0.6644221861955867,1
38,285480.0013,2492840.478,0,train,Random Forest,0.277245360044923,0
39,285243.5737,2494068.301,0,train,Random Forest,0.1363301768274148,0
40,289229.9305,2492609.552,1,test,Random Forest,0.4081936131826774,0
41,286264.7194,2494159.827,0,train,Random Forest,0.10196482443595951,0
42,288677.7376,2491041.135,1,train,Random Forest,0.6486152718484846,1
43,289523.5606,2491561.57,0,train,Random Forest,0.354857052985283,0
44,285738.9043,2493139.489,0,train,Random Forest,0.2082789901930016,0
45,288264.788,2492197.412,0,train,Random Forest,0.14380223499191586,0
46,290482.5286,2491837.326,1,test,Random Forest,0.4391347578705259,0
47,286291.9626,2494035.3,0,train,Random Forest,0.14077388186431727,0
48,290331.5668,2492477.812,0,test,Random Forest,0.39937083967024134,0
49,287458.4858,2492241.786,0,train,Random Forest,0.22853813841929807,0
50,284862.4033,2494010.552,0,train,Random Forest,0.38269909644072975,0
51,289615.9269,2491169.918,0,train,Random Forest,0.2617021038509989,0
52,289451.1003,2493089.879,0,test,Random Forest,0.3335739112064289,0
53,286303.8311,2492017.885,0,train,Random Forest,0.263342210200572,0
54,284904.583,2495175.691,0,train,Random Forest,0.19423578451218027,0
55,290066.8353,2493296.287,0,test,Random Forest,0.23290959257055885,0
56,284639.6701,2495548.431,0,train,Random Forest,0.18051831189108655,0
57,288899.0244,2494508.277,1,test,Random Forest,0.23718326865526815,0
58,289186.5037,2494246.918,1,test,Random Forest,0.15265674000400886,0
59,287597.5653,2492598.359,0,train,Random Forest,0.21159582609620475,0
60,288324.9796,2494192.502,0,train,Random Forest,0.19742118016886331,0
61,286908.2053,2493768.713,0,train,Random Forest,0.24588754181709044,0
62,291147.8388,2492404.817,0,test,Random Forest,0.23587974722732147,0
63,288060.3437,2490956.484,1,validation,Random Forest,0.42954283612196953,0
64,289182.7335,2491236.778,1,train,Random Forest,0.612653596475795,1
65,288982.8029,2493675.332,0,test,Random Forest,0.33685721550009257,0
66,290087.232,2492589.747,1,test,Random Forest,0.35111646867169877,0
67,295461.0949,2498078.594,0,train,Random Forest,0.3405733962914465,0
68,289628.9937,2492660.372,1,test,Random Forest,0.3585394942679675,0
69,285993.8308,2493676.31,0,train,Random Forest,0.11542505704517872,0
70,289867.9785,2493341.665,0,test,Random Forest,0.3205830979312261,0
71,289360.8327,2491488.365,0,train,Random Forest,0.27439673131133924,0
72,285830.6318,2494930.718,1,train,Random Forest,0.6511799360994707,1
73,289168.0087,2491812.488,0,test,Random Forest,0.31131836896031534,0
74,289672.4827,2494112.014,0,test,Random Forest,0.4608854515582747,0
75,289469.6293,2490839.407,1,train,Random Forest,0.632356548351091,1
76,288536.5879,2493451.024,1,train,Random Forest,0.6290885711241696,1
77,290661.4085,2492797.741,1,test,Random Forest,0.2990723032234274,0
78,289317.5754,2491246.703,0,train,Random Forest,0.311353050808422,0
79,285274.9463,2495427.456,0,train,Random Forest,0.39727670588342184,0
80,284144.2872,2495135.829,0,train,Random Forest,0.17407027838673386,0
81,286201.1925,2493687.782,0,train,Random Forest,0.10520721608093844,0
82,289649.6151,2492655.302,0,test,Random Forest,0.49575899844577476,0
83,289353.3916,2493337.399,0,test,Random Forest,0.2235754701775463,0
84,288969.1597,2492224.227,0,test,Random Forest,0.5329724172829673,1
85,291348.0462,2492411.433,1,test,Random Forest,0.44049327097488616,0
86,288597.3814,2492099.664,0,train,Random Forest,0.2370075106864534,0
87,288854.1337,2492815.205,0,test,Random Forest,0.4643591971808751,0
88,290101.8342,2492670.127,0,test,Random Forest,0.27762883405823957,0
89,286070.0872,2495124.287,1,train,Random Forest,0.5770865089679786,1
90,287065.4941,2489757.86,1,validation,Random Forest,0.5920747221583931,1
91,289554.6803,2494046.726,1,test,Random Forest,0.29825109436277575,0
92,287856.1103,2489838.521,0,validation,Random Forest,0.6783246459483859,1
93,291303.5612,2491965.149,1,test,Random Forest,0.4498164800515833,0
94,286628.9154,2494488.639,0,train,Random Forest,0.2789222746987358,0
95,286982.0275,2491787.46,0,validation,Random Forest,0.29575343442485247,0
96,288609.3416,2490795.895,0,train,Random Forest,0.2941355619622862,0
97,289091.6379,2493195.734,0,test,Random Forest,0.4905055123482251,0
98,295305.3696,2497743.335,0,train,Random Forest,0.33587434697595847,0
99,287069.6292,2490377.136,0,validation,Random Forest,0.5930141842909886,1
100,286468.9884,2492203.698,0,train,Random Forest,0.15072448303040165,0
101,287398.2958,2495066.767,0,train,Random Forest,0.27381370620453666,0
102,289651.7269,2493114.448,0,test,Random Forest,0.4978395292427652,0
103,285159.804,2494421.609,0,train,Random Forest,0.10534571222224473,0
104,289183.0262,2494170.142,0,test,Random Forest,0.27465071895050647,0
105,288658.2366,2493386.636,1,test,Random Forest,0.4228648938130807,0
106,286640.3098,2491447.315,1,validation,Random Forest,0.6084181821655578,1
107,284999.5876,2493776.334,0,train,Random Forest,0.1432892035462701,0
108,288408.1346,2491384.324,0,validation,Random Forest,0.2988081102246455,0
109,289064.4826,2492880.411,0,test,Random Forest,0.3755134694068371,0
110,287856.529,2490263.141,0,validation,Random Forest,0.6493752985014596,1
111,288196.6247,2492847.73,1,train,Random Forest,0.6766204342874447,1
112,285427.0431,2494331.314,0,train,Random Forest,0.12377778398970331,0
113,287608.1194,2491322.414,1,validation,Random Forest,0.3023387429985011,0
114,286791.4418,2490980.667,1,validation,Random Forest,0.7027986912241443,1
115,288312.3382,2490359.864,1,validation,Random Forest,0.7237748057126676,1
116,312073.5965,2460458.868,0,train,Random Forest,0.4439187759737469,0
117,302900.9884,2447899.132,1,train,Random Forest,0.8070908909232138,1
118,304971.2091,2498138.842,0,train,Random Forest,0.4360832094444556,0
119,311601.882,2465812.77,1,train,Random Forest,0.6466629748382604,1
120,292748.517,2442110.652,0,test,Random Forest,0.2567027241258936,0
121,295041.0022,2481484.276,0,train,Random Forest,0.5688565391244453,1
122,312962.9699,2494304.16,1,train,Random Forest,0.6803757026135077,1
123,296536.1763,2467646.374,0,train,Random Forest,0.23374827416078758,0
124,310933.8704,2488157.391,1,train,Random Forest,0.7074302622649264,1
125,308383.0333,2459590.463,0,test,Random Forest,0.3106860838392891,0
126,306561.3613,2467412.959,1,validation,Random Forest,0.4444292592313748,0
127,292193.8109,2439307.105,0,test,Random Forest,0.3041677405337502,0
128,311038.271,2465871.522,0,train,Random Forest,0.6216902800623239,1
129,298604.25,2452225.658,0,train,Random Forest,0.5091552630032019,1
130,295733.2942,2454253.919,0,train,Random Forest,0.2990360510624154,0
131,309117.9835,2495115.313,0,train,Random Forest,0.36316878419305854,0
132,305822.7349,2487851.914,0,train,Random Forest,0.19900213445673612,0
133,309576.9383,2491254.063,0,train,Random Forest,0.3012196598127341,0
134,312720.2385,2493043.092,1,train,Random Forest,0.7760026912352278,1
135,298283.5998,2480966.889,0,train,Random Forest,0.34262588045559156,0
136,307786.0918,2457323.183,0,test,Random Forest,0.8120809799252642,1
